date,ad_group_id,device,impressions,clicks,conversions,cost
2024-09-11,164135120558,DESKTOP,505,0,0,1.360701
2024-09-11,169214802704,MOBILE,17,1,0,4.341992
2024-09-11,168997303571,DESKTOP,1600,1,1,6.875031
2024-09-11,148575862984,TABLET,6,1,0,1.1
2024-09-11,155673249996,DESKTOP,11,1,0,3.47
2024-09-11,155673249996,MOBILE,17,1,0,0.79
2024-09-11,155673250956,MOBILE,109,3,3,9.55
2024-09-11,169214802704,DESKTOP,31,4,0,30.32
2024-09-11,155673249556,DESKTOP,30,4,0,8.12
2024-09-11,155673250956,DESKTOP,135,5,2,8.72
2024-09-11,148575862984,DESKTOP,306,21,1.150189,53.9
2024-09-11,148575862984,MOBILE,215,24,0.896981,49.435818
2024-09-11,164135120558,MOBILE,4502,51,1.984881,32.27569
2024-09-11,168997303571,MOBILE,17363,124,2.020287,58.902028
2024-09-10,155673249556,TABLET,1,0,0,0
2024-09-10,155673250956,TABLET,6,0,0,0
2024-09-10,164828025000,DESKTOP,20,0,0,0
2024-09-10,164828025000,MOBILE,8,0,0,0
2024-09-10,148575862984,TABLET,8,0,0,0
2024-09-10,155673249556,DESKTOP,52,1,0,1.32
2024-09-10,155673249556,MOBILE,14,1,0,0.12
2024-09-10,169214802704,DESKTOP,63,2,0,17.5
2024-09-10,169214802704,MOBILE,24,2,0,13.22
2024-09-10,164135120558,DESKTOP,856,2,0,3.514059
2024-09-10,155673249996,MOBILE,17,2,3,2.7
2024-09-10,155673249996,DESKTOP,23,2,0,3.88
2024-09-10,168997303571,DESKTOP,1920,3,0,7.158032
2024-09-10,155673250956,DESKTOP,168,6,2,7.51
2024-09-10,155673250956,MOBILE,129,9,1,13.07
2024-09-10,148575862984,DESKTOP,339,11,5.90278,50.35
2024-09-10,148575862984,MOBILE,246,29,6.514857,62.047941
2024-09-10,164135120558,MOBILE,5406,48,0,52.136146
2024-09-10,168997303571,MOBILE,9328,97,3.14296,42.572327
2024-09-09,168997303571,DESKTOP,5,0,0,0.001152
2024-09-09,168997303571,MOBILE,3,0,0,0.023051
2024-09-09,155673249556,MOBILE,21,0,0,0
2024-09-09,155673250956,TABLET,5,0,0,0
2024-09-09,164828025000,DESKTOP,29,0,0,0
2024-09-09,164828025000,MOBILE,7,0,0,0
2024-09-09,155673249996,MOBILE,15,0,0,0
2024-09-09,169214802704,MOBILE,22,1,0,5.59
2024-09-09,155673249556,DESKTOP,28,1,0,4.87
2024-09-09,148575862984,TABLET,1,1,2,2.58
2024-09-09,155673249996,DESKTOP,16,1,0,0.5
2024-09-09,168997303571,DESKTOP,1474,2,0,5.400891
2024-09-09,164135120558,DESKTOP,628,3,0.899625,3.101837
2024-09-09,169214802704,DESKTOP,53,4,3,33.14
2024-09-09,155673250956,MOBILE,102,9,3.98168,12.11
2024-09-09,155673250956,DESKTOP,140,10,3,25.11
2024-09-09,148575862984,DESKTOP,267,15,5,73.84
2024-09-09,148575862984,MOBILE,191,18,2.351763,30.44
2024-09-09,164135120558,MOBILE,6903,62,3.093717,56.988496
2024-09-09,168997303571,MOBILE,12352,87,1,43.065552
2024-09-08,168997303571,MOBILE,3,0,0,0.000403
2024-09-08,155673249556,TABLET,2,0,0,0
2024-09-08,155673250956,TABLET,6,0,0,0
2024-09-08,164828025000,MOBILE,5,0,0,0
2024-09-08,164828025000,DESKTOP,11,0,0,0
2024-09-08,164135120558,DESKTOP,9,0,0,0.001742
2024-09-08,164135120558,MOBILE,8,0,0,0.004506
2024-09-08,164135120558,DESKTOP,204,0,0,1.54988
2024-09-08,148575862984,TABLET,4,0,0,0
2024-09-08,155673249996,MOBILE,24,0,0,0
2024-09-08,155673249996,TABLET,3,0,0,0
2024-09-08,168997303571,DESKTOP,219,1,0.100375,0.935291
2024-09-08,169214802704,DESKTOP,19,2,1,14.55
2024-09-08,155673249556,DESKTOP,39,2,0,8.98
2024-09-08,155673250956,DESKTOP,90,2,1,6.16
2024-09-08,155673249996,DESKTOP,33,2,0,14.81
2024-09-08,155673249556,MOBILE,45,3,0,3.3
2024-09-08,155673250956,MOBILE,145,4,0,4.36
2024-09-08,169214802704,MOBILE,38,5,0,15.90731
2024-09-08,148575862984,DESKTOP,131,9,7.995934,51.67
2024-09-08,148575862984,MOBILE,212,23,5.189697,48.002453
2024-09-08,168997303571,MOBILE,5452,28,4.234921,18.09524
2024-09-08,164135120558,MOBILE,7546,48,9.759685,82.433402
2024-09-07,155673249556,TABLET,1,0,0,0
2024-09-07,155673249556,MOBILE,20,0,0,0
2024-09-07,164828025000,MOBILE,3,0,0,0
2024-09-07,164135120558,MOBILE,1,0,0,0.000767
2024-09-07,148575862984,TABLET,9,0,0,0
2024-09-07,155673249996,TABLET,2,0,0,0
2024-09-07,169214802704,MOBILE,11,1,0,1.65
2024-09-07,155673249556,DESKTOP,16,1,0,3.85
2024-09-07,155673250956,TABLET,8,1,0,1.28
2024-09-07,155673250956,DESKTOP,91,1,0,1.2
2024-09-07,164828025000,DESKTOP,6,1,0,1.55
2024-09-07,169214802704,DESKTOP,11,2,3,22.19
2024-09-07,155673249996,MOBILE,29,2,0,2.44
2024-09-07,168997303571,DESKTOP,2815,3,0.888572,6.599539
2024-09-07,155673249996,DESKTOP,23,3,0,5.23
2024-09-07,164135120558,DESKTOP,729,5,5,2.677706
2024-09-07,155673250956,MOBILE,145,6,3,7.47
2024-09-07,148575862984,DESKTOP,131,10,2,53.763286
2024-09-07,148575862984,MOBILE,260,25,1.311433,44.43
2024-09-07,164135120558,MOBILE,9577,83,12.011895,53.32004
2024-09-07,168997303571,MOBILE,19045,167,11.227166,44.077288
2024-09-06,155673249556,DESKTOP,38,0,0,0
2024-09-06,155673249556,TABLET,1,0,0,0
2024-09-06,155673249556,MOBILE,30,0,0,0
2024-09-06,155673249996,TABLET,1,0,0,0
2024-09-06,168997303571,MOBILE,25686,256,6,61.309127
2024-09-06,155673250956,TABLET,8,1,0,1.87
2024-09-06,164828025000,MOBILE,11,1,0,1.64
2024-09-06,164828025000,DESKTOP,14,1,0,3.05
2024-09-06,148575862984,TABLET,3,1,0,1.72
2024-09-06,155673249996,DESKTOP,14,1,0,1.19
2024-09-06,169214802704,DESKTOP,28,2,0,10.64
2024-09-06,169214802704,MOBILE,14,2,3,12.939615
2024-09-06,164135120558,DESKTOP,1169,3,0,3.243194
2024-09-06,155673249996,MOBILE,20,4,0.505312,6.53
2024-09-06,155673250956,DESKTOP,131,5,1,10.47
2024-09-06,168997303571,DESKTOP,4982,7,0,13.415988
2024-09-06,155673250956,MOBILE,140,7,0,9.18
2024-09-06,148575862984,DESKTOP,259,14,4.696108,63.129836
2024-09-06,148575862984,MOBILE,210,19,3.42517,38.08
2024-09-06,164135120558,MOBILE,9918,91,3.089908,28.40402
2024-09-05,155673249556,DESKTOP,26,0,0,0
2024-09-05,155673250956,TABLET,3,0,0,0
2024-09-05,164828025000,DESKTOP,14,0,0,0
2024-09-05,164828025000,MOBILE,9,0,0,0
2024-09-05,148575862984,TABLET,7,0,0,0
2024-09-05,155673249996,MOBILE,22,0,0,0
2024-09-05,169214802704,DESKTOP,21,1,0,4.34
2024-09-05,155673249556,MOBILE,18,1,0,1.74
2024-09-05,164135120558,DESKTOP,1045,2,0,2.702985
2024-09-05,155673249996,DESKTOP,35,2,3,4.45
2024-09-05,169214802704,MOBILE,19,5,0,32.64
2024-09-05,155673250956,DESKTOP,104,5,2,25.01
2024-09-05,155673250956,MOBILE,75,5,0,9.66945
2024-09-05,168997303571,DESKTOP,5356,6,1.440102,14.339475
2024-09-05,148575862984,DESKTOP,280,21,5.031293,67.41
2024-09-05,148575862984,MOBILE,195,23,5.832202,41.61
2024-09-05,164135120558,MOBILE,11283,102,1.5,31.515261
2024-09-05,168997303571,MOBILE,21387,209,7.784047,54.059442
2024-09-04,155673249556,DESKTOP,33,0,0,0
2024-09-04,155673250956,TABLET,2,0,0,0
2024-09-04,164828025000,DESKTOP,18,0,0,0
2024-09-04,155673249556,MOBILE,19,1,0,2.34
2024-09-04,164828025000,MOBILE,14,1,0,5.34
2024-09-04,148575862984,TABLET,16,1,0,0.71
2024-09-04,155673249996,DESKTOP,24,1,0,1.4
2024-09-04,169214802704,MOBILE,22,2,0,3.5
2024-09-04,155673250956,DESKTOP,87,2,1,7.26
2024-09-04,164135120558,DESKTOP,1364,2,0.207541,4.722717
2024-09-04,169214802704,DESKTOP,36,3,0,26.39
2024-09-04,155673249996,MOBILE,23,3,0,6.81
2024-09-04,155673250956,MOBILE,93,4,0,5.71
2024-09-04,168997303571,DESKTOP,7037,6,9.828584,20.809316
2024-09-04,148575862984,DESKTOP,294,19,7,64.21
2024-09-04,148575862984,MOBILE,274,26,4.343981,51.05
2024-09-04,164135120558,MOBILE,9293,83,6.815928,33.674263
2024-09-04,168997303571,MOBILE,17016,184,5.486495,49.278733
2024-09-03,164828025000,MOBILE,9,1,0,5.82
2024-09-03,164828025000,DESKTOP,19,1,0,8.78
2024-09-03,155673249556,DESKTOP,37,0,0,0
2024-09-03,155673250956,TABLET,4,0,0,0
2024-09-03,155673249996,MOBILE,32,0,0,0
2024-09-03,155673249996,TABLET,2,0,0,0
2024-09-03,169214802704,DESKTOP,49,1,3,3.95
2024-09-03,155673250956,DESKTOP,190,1,0,1.04
2024-09-03,148575862984,TABLET,7,1,0,4.05
2024-09-03,155673249556,MOBILE,26,2,0,3.94
2024-09-03,155673249996,DESKTOP,25,3,0,5.54
2024-09-03,164135120558,DESKTOP,1675,5,1,4.799643
2024-09-03,169214802704,MOBILE,34,6,4,16.97
2024-09-03,168997303571,DESKTOP,3757,7,0.239594,9.665039
2024-09-03,155673250956,MOBILE,149,10,1,12.74
2024-09-03,148575862984,MOBILE,156,15,4.372392,23.4
2024-09-03,148575862984,DESKTOP,239,19,10.088708,83.08
2024-09-03,168997303571,MOBILE,10566,117,7.119797,26.475971
2024-09-03,164135120558,MOBILE,16222,136,12.441721,65.087281
2024-09-02,164828025000,DESKTOP,4,0,0,0
2024-09-02,164828025000,MOBILE,6,1,0,1.81
2024-09-02,169214802704,TABLET,2,0,0,0
2024-09-02,155673249556,DESKTOP,39,0,0,0
2024-09-02,155673250956,TABLET,8,0,0,0
2024-09-02,148575862984,TABLET,6,0,0,0
2024-09-02,155673249556,MOBILE,29,1,0,1.65
2024-09-02,155673249996,DESKTOP,27,1,0,1.08
2024-09-02,169214802704,MOBILE,17,3,0,13.48
2024-09-02,169214802704,DESKTOP,34,3,0,21.32
2024-09-02,164135120558,DESKTOP,1699,3,1.893332,5.437572
2024-09-02,155673249996,MOBILE,25,3,0,2.67
2024-09-02,168997303571,DESKTOP,1801,5,6,4.416951
2024-09-02,155673250956,DESKTOP,187,10,0,26.47
2024-09-02,155673250956,MOBILE,207,10,1,14.13
2024-09-02,148575862984,DESKTOP,184,15,2,86.47
2024-09-02,148575862984,MOBILE,194,15,1,22.67
2024-09-02,168997303571,MOBILE,3272,28,0,7.964473
2024-09-02,164135120558,MOBILE,15511,153,5.642388,86.952878
2024-09-01,164828025000,DESKTOP,1,0,0,0
2024-09-01,164828025000,MOBILE,11,1,0,5.61
2024-09-01,155673249556,DESKTOP,15,0,0,0
2024-09-01,155673250956,TABLET,7,0,0,0
2024-09-01,148575862984,TABLET,7,0,0,0
2024-09-01,169214802704,MOBILE,13,1,0,6.41
2024-09-01,155673249556,MOBILE,23,1,0,0.54
2024-09-01,164135120558,DESKTOP,609,1,0,3.438201
2024-09-01,155673249996,DESKTOP,19,1,0,1.95
2024-09-01,155673249996,MOBILE,25,1,0,3.83
2024-09-01,169214802704,DESKTOP,29,2,0,25.91
2024-09-01,168997303571,DESKTOP,583,3,0,1.4986
2024-09-01,155673250956,DESKTOP,105,8,0,16.04
2024-09-01,155673250956,MOBILE,195,8,0.5,9.06
2024-09-01,148575862984,DESKTOP,128,14,4.96324,64.79
2024-09-01,148575862984,MOBILE,200,17,3,41.6065
2024-09-01,168997303571,MOBILE,3761,18,1,10.317257
2024-09-01,164135120558,MOBILE,18727,82,7.988366,87.704395
2024-08-31,164828025000,DESKTOP,2,0,0,0
2024-08-31,164828025000,MOBILE,4,1,1,5.13
2024-08-31,164828025000,TABLET,1,1,0,3.38
2024-08-31,169214802704,DESKTOP,20,0,0,0
2024-08-31,148575862984,TABLET,2,0,0,0
2024-08-31,155673249996,DESKTOP,10,0,0,0
2024-08-31,168997303571,DESKTOP,268,1,0,1.025093
2024-08-31,155673249556,MOBILE,24,1,0,0.94
2024-08-31,155673250956,DESKTOP,71,1,0,1.23
2024-08-31,155673250956,TABLET,6,1,0,2.53
2024-08-31,155673249996,MOBILE,19,1,0,0.93
2024-08-31,155673249556,DESKTOP,19,2,3,6.43
2024-08-31,169214802704,MOBILE,20,3,0,9.73
2024-08-31,164135120558,DESKTOP,645,3,0,5.301336
2024-08-31,155673250956,MOBILE,168,7,1.10131,14.2
2024-08-31,168997303571,MOBILE,1575,8,0,6.345362
2024-08-31,148575862984,DESKTOP,108,9,1,40.1
2024-08-31,148575862984,MOBILE,186,14,4.862324,28.414857
2024-08-31,164135120558,MOBILE,9293,39,3,75.878747
2024-08-30,164828025000,MOBILE,5,0,0,0
2024-08-30,164828025000,DESKTOP,12,1,0,5.91
2024-08-30,155673249556,DESKTOP,8,0,0,0
2024-08-30,155673249556,MOBILE,3,0,0,0
2024-08-30,155673249556,TABLET,1,0,0,0
2024-08-30,155673249996,TABLET,1,0,0,0
2024-08-30,155673249996,MOBILE,17,0,0,0
2024-08-30,169214802704,MOBILE,6,1,0,6.56
2024-08-30,169214802704,DESKTOP,33,1,0,11.68
2024-08-30,168997303571,DESKTOP,345,1,0,1.440347
2024-08-30,155673250956,DESKTOP,112,1,0,0.97
2024-08-30,155673250956,TABLET,10,1,0,2.2
2024-08-30,164135120558,DESKTOP,494,1,1,7.906709
2024-08-30,148575862984,TABLET,13,1,0,1.07
2024-08-30,155673249996,DESKTOP,16,1,0,1.05
2024-08-30,168997303571,MOBILE,1237,6,3,5.364411
2024-08-30,148575862984,DESKTOP,210,7,3,22.03
2024-08-30,155673250956,MOBILE,128,8,0,12.4
2024-08-30,148575862984,MOBILE,188,21,0.473263,59.04
2024-08-30,164135120558,MOBILE,6960,52,16.114758,79.424233
2024-08-29,164828025000,MOBILE,8,0,0,0
2024-08-29,164828025000,DESKTOP,16,1,0,14.29
2024-08-29,155673249556,DESKTOP,7,0,0,0
2024-08-29,155673249556,MOBILE,1,0,0,0
2024-08-29,155673250956,TABLET,4,0,0,0
2024-08-29,164135120558,DESKTOP,2,0,0,0.002899
2024-08-29,148575862984,TABLET,7,0,0,0
2024-08-29,155673249996,DESKTOP,10,0,0,0
2024-08-29,169214802704,TABLET,1,1,0,5.66
2024-08-29,169214802704,DESKTOP,57,1,0,4.76
2024-08-29,169214802704,MOBILE,39,2,0,7.68
2024-08-29,155673249996,MOBILE,19,2,0,2.57
2024-08-29,168997303571,DESKTOP,2104,3,1,8.880473
2024-08-29,155673250956,DESKTOP,102,3,0,9.42
2024-08-29,164135120558,DESKTOP,2878,7,1,16.409854
2024-08-29,155673250956,MOBILE,108,9,2.15823,10.42
2024-08-29,148575862984,DESKTOP,246,13,3,42.97
2024-08-29,148575862984,MOBILE,160,21,6.019669,53.22
2024-08-29,168997303571,MOBILE,3057,23,0,12.937564
2024-08-29,164135120558,MOBILE,9020,91,2.979129,57.956725
2024-08-28,164828025000,DESKTOP,4,0,0,0
2024-08-28,164828025000,MOBILE,6,1,0,6.43
2024-08-28,169214802704,TABLET,1,0,0,0
2024-08-28,155673249556,DESKTOP,10,0,0,0
2024-08-28,155673250956,TABLET,5,0,0,0
2024-08-28,164135120558,DESKTOP,0,0,0,0
2024-08-28,148575862984,TABLET,14,0,0,0
2024-08-28,155673249996,DESKTOP,26,0,0,0
2024-08-28,155673249996,TABLET,2,0,0,0
2024-08-28,155673249996,MOBILE,30,0,0,0
2024-08-28,169214802704,MOBILE,10,1,0,2.52
2024-08-28,155673249556,MOBILE,11,1,0,1.18
2024-08-28,164135120558,MOBILE,4,1,0,0.016661
2024-08-28,169214802704,DESKTOP,14,2,3,25.86
2024-08-28,155673250956,DESKTOP,148,2,4,8.42
2024-08-28,155673250956,MOBILE,169,3,0,7.41
2024-08-28,168997303571,DESKTOP,2711,7,3,10.479036
2024-08-28,164135120558,DESKTOP,3486,13,1,21.085894
2024-08-28,148575862984,DESKTOP,337,15,3,45.13
2024-08-28,168997303571,MOBILE,2764,16,1,12.514883
2024-08-28,148575862984,MOBILE,257,22,9.988925,48.943307
2024-08-28,164135120558,MOBILE,8738,79,6.023398,55.789929
2024-08-27,164828025000,MOBILE,2,0,0,0
2024-08-27,164828025000,TABLET,2,0,0,0
2024-08-27,164828025000,DESKTOP,14,1,0,7.72
2024-08-27,169214802704,TABLET,1,0,0,0
2024-08-27,168997303571,DESKTOP,34,0,0,0.045548
2024-08-27,168997303571,MOBILE,42,0,0,0.038699
2024-08-27,155673249556,DESKTOP,12,0,0,0
2024-08-27,155673250956,TABLET,6,0,0,0
2024-08-27,164135120558,MOBILE,27,0,0,0.051804
2024-08-27,164135120558,DESKTOP,44,0,0,0.259826
2024-08-27,148575862984,TABLET,8,0,0,0
2024-08-27,155673249996,TABLET,1,0,0,0
2024-08-27,169214802704,MOBILE,12,1,0,3.38
2024-08-27,169214802704,DESKTOP,39,1,1,22.7
2024-08-27,155673249556,TABLET,1,1,0,1.69
2024-08-27,155673249556,MOBILE,10,1,0,0.75
2024-08-27,155673249996,DESKTOP,18,1,0,3.02
2024-08-27,155673249996,MOBILE,23,1,0,2.77
2024-08-27,168997303571,DESKTOP,1474,3,6,6.1362
2024-08-27,155673250956,DESKTOP,92,4,0,7.35
2024-08-27,155673250956,MOBILE,119,4,0,8.52
2024-08-27,164135120558,DESKTOP,2215,10,0,16.161877
2024-08-27,168997303571,MOBILE,3769,15,5.08338,17.002615
2024-08-27,148575862984,DESKTOP,271,20,3,48.73
2024-08-27,148575862984,MOBILE,208,23,6.460182,54.2
2024-08-27,164135120558,MOBILE,8623,71,9.241739,59.650231
2024-08-26,164828025000,TABLET,1,0,0,0
2024-08-26,164828025000,MOBILE,6,0,0,0
2024-08-26,164828025000,DESKTOP,8,1,0,5.11
2024-08-26,169214802704,TABLET,1,0,0,0
2024-08-26,168997303571,MOBILE,34,0,0,0.017809
2024-08-26,168997303571,DESKTOP,36,0,0,0.124296
2024-08-26,155673249556,MOBILE,1,0,0,0
2024-08-26,155673249556,DESKTOP,7,0,0,0
2024-08-26,164135120558,MOBILE,2,0,0,0.000393
2024-08-26,164135120558,DESKTOP,4,0,0,0.003408
2024-08-26,148575862984,TABLET,11,0,0,0
2024-08-26,168997303571,DESKTOP,535,1,0,4.206646
2024-08-26,155673250956,TABLET,5,1,0,3.1
2024-08-26,155673250956,DESKTOP,104,1,0,2.82
2024-08-26,155673249996,DESKTOP,18,1,0,1.68
2024-08-26,155673249996,TABLET,1,1,0,4.01
2024-08-26,169214802704,MOBILE,19,3,0,7.281993
2024-08-26,169214802704,DESKTOP,51,3,0,24.21
2024-08-26,155673249996,MOBILE,13,3,0.364068,4.1
2024-08-26,164135120558,DESKTOP,1097,4,0,15.805162
2024-08-26,155673250956,MOBILE,121,8,0,11.02
2024-08-26,148575862984,DESKTOP,314,24,10.209861,81.43
2024-08-26,148575862984,MOBILE,245,27,8.071663,51.85
2024-08-26,168997303571,MOBILE,7777,28,1,21.127456
2024-08-26,164135120558,MOBILE,6875,84,15.622705,62.021213
2024-08-25,164828025000,MOBILE,8,0,0,0
2024-08-25,164828025000,TABLET,1,0,0,0
2024-08-25,164828025000,DESKTOP,4,0,0,0
2024-08-25,169214802704,MOBILE,58,0,0,0
2024-08-25,168997303571,MOBILE,1,0,0,0.001856
2024-08-25,155673249556,MOBILE,2,0,0,0
2024-08-25,155673250956,TABLET,2,0,0,0
2024-08-25,148575862984,TABLET,10,0,0,0
2024-08-25,155673249996,DESKTOP,20,0,0,0
2024-08-25,155673249556,DESKTOP,7,1,0,1.56
2024-08-25,155673249996,MOBILE,17,1,0,0.7
2024-08-25,169214802704,DESKTOP,69,2,1.154899,31.52
2024-08-25,168997303571,DESKTOP,874,2,0,6.784157
2024-08-25,148575862984,DESKTOP,166,3,0,10.75
2024-08-25,155673250956,DESKTOP,88,4,1,6.49
2024-08-25,164135120558,DESKTOP,2026,4,0,14.760271
2024-08-25,155673250956,MOBILE,181,12,4,12.13
2024-08-25,148575862984,MOBILE,242,22,2.258169,49.498534
2024-08-25,168997303571,MOBILE,2765,28,3,12.899822
2024-08-25,164135120558,MOBILE,7645,65,2.647904,56.213597
2024-08-24,164828025000,MOBILE,8,0,0,0
2024-08-24,164828025000,DESKTOP,2,0,0,0
2024-08-24,164828025000,TABLET,1,0,0,0
2024-08-24,168997303571,DESKTOP,1,0,0,0.000152
2024-08-24,168997303571,MOBILE,3,0,0,0.000515
2024-08-24,155673249556,MOBILE,4,0,0,0
2024-08-24,155673250956,TABLET,1,0,0,0
